artist,popularity,score,top10
Ariana Grande,1,238.80842476830333,1 2 15 36 41 42 43 56 57 65
Drake,2,219.82814547109487,76 86 155 304 354 356 561 702 782 1060
XXXTENTACION,3,203.47620544188544,31 47 58 62 96 132 156 246 289 291
Eminem,4,171.1990309986341,153 178 344 353 393 396 399 474 489 550
Post Malone,5,169.68613432600338,3 8 24 46 77 99 105 253 313 336
Ed Sheeran,6,151.903278211749,80 136 137 169 183 287 319 358 514 569
Juice WRLD,7,148.37479495715485,30 54 71 165 263 332 339 347 365 376
Bad Bunny,8,125.54373499845947,18 68 189 191 359 390 418 419 491 605
Travis Scott,9,124.7584841036956,21 119 173 275 279 350 562 852 1004 1010
Ozuna,10,123.510894116038,16 101 195 328 386 427 555 574 589 631
Twenty One Pilots,11,115.41902395908666,241 327 364 400 654 779 924 1199 1215 1628
Billie Eilish,12,114.76652944082446,72 107 110 175 176 179 238 239 256 360
Khalid,13,113.24661009470314,22 97 111 159 161 234 317 377 536 741
The Weeknd,14,103.84814509413985,188 282 369 441 448 506 759 786 1299 1448
Imagine Dragons,15,96.79324396298945,61 70 83 95 192 783 1079 1191 1222 1601
6ix9ine,16,96.50671814586353,91 104 122 164 454 483 532 641 647 756
Shawn Mendes,17,95.52417025781311,134 198 259 269 295 409 542 718 861 1292
A Boogie Wit da Hoodie,18,95.41438120129187,48 52 185 334 455 826 967 996 1226 1813
J. Cole,19,95.36442599063712,13 228 422 426 712 778 1036 1339 1514 1883
Calvin Harris,20,92.9226323699028,23 67 81 414 869 875 877 884 1250 1569
Offset,21,91.18917692368048,152 182 220 509 677 986 991 1355 1381 1384
The Chainsmokers,22,89.08874425592741,55 87 89 172 293 446 844 864 918 1293
BTS,23,87.98439588990398,531 614 945 1038 1072 1405 1423 1808 1825 1855
Kanye West,24,87.96453642080206,109 516 609 850 1063 1193 1370 1445 1451 1842
21 Savage,25,87.09680164391715,27 177 257 508 597 992 1016 1125 1234 1587
Panic! At The Disco,26,85.47199131731934,14 673 965 1030 1194 1284 1538 1606 1610 2216
Marshmello,27,81.91391680345313,10 93 167 211 331 735 1089 1506 1921 2057
Gunna,28,79.56695974387736,593 697 706 819 1052 1156 1546 1824 1829 2234
Lil Peep,29,78.1583521627857,124 249 469 1011 1136 1246 1259 1839 2229 2251
Bruno Mars,30,77.7361698478383,184 280 551 595 678 851 1331 1592 2119 2149
Lady Gaga,31,77.50159455237318,17 66 126 311 853 1022 1752 1755 1939 2184
Trippie Redd,32,77.47753350452207,325 330 505 633 990 1102 1388 1403 1436 1955
Coldplay,33,76.53188953848225,270 348 564 749 776 816 951 1147 1349 2197
Lil Baby,34,75.56389899871499,34 139 221 245 338 690 748 1800 2354 2803
Martin Garrix,35,74.99405560827161,203 264 301 335 379 754 902
Rihanna,36,74.7907062858795,408 586 734 880 1028 1327 1732 2100 2113 2173
Kodak Black,37,74.7210201128146,28 207 349 691 997 1170 1651 1801 1807 2786
Migos,38,74.54068121818658,254 394 479 604 716 801 1211 1352 2253 2799
Maroon 5,39,73.67092862699421,74 326 533 731 961 970 1600 1716 2393 2411
Daddy Yankee,40,73.1854895963085,4 51 460 796 821 1421 1585 2283 2289 2292
Maluma,41,73.16556583261784,258 277 361 494 688 820 1786 1787
Clean Bandit,42,72.05394990386417,108 300 435 453 527 848 2009
Lauv,43,71.90444054339852,26 135 180 638 1043 1149 1728 2195
Future,44,71.77740601300458,209 219 237 398 771 1033 1151 2348 2801 2819
Cardi B,45,71.70643906517361,40 60 82 461 762 787 907 1429 1959 3406
Bazzi,46,71.55969542380487,79 166 903 913 915 985 1695 1770 2577
Lil Uzi Vert,47,71.18668610853464,160 437 572 868 1129 1422 1544 1614 1615 2751
Avicii,48,70.808627474976,278 281 602 665 680 887
Camila Cabello,49,70.36459187369657,84 417 444 742 1279 1577 1783 2005 2172 2666
The Beatles,50,70.18761237234308,407 634 635 795 1262 1285 1540 2087 2546 2617
Kendrick Lamar,51,69.96987933067918,146 252 351 467 1252 1269 1809 1860 2239 3052
James Arthur,52,69.74374776181274,215 323 341 342 667 1166 2646
Dua Lipa,53,69.69305204479504,106 117 144 149 966 1376 2010 2106 3299
Sam Smith,54,69.65252283612153,7 138 213 294 578 2200 2258
John Mayer,55,69.58315823022431,222 519 901 905 947 1325 1392 2384
Ski Mask The Slump God,56,69.01039485074665,206 218 430 693 813 1044 2349 2377 2787 2832
Piso 21,57,67.77679541878807,53 217 530 621 1367 1950
Luis Fonsi,58,67.67530776526986,92 385 736 885 898
Becky G,59,67.3820393018455,78 120 158 879 1143 2386
ZAYN,60,66.79756660960767,247 832 856 857 1307 1427 2167 2572 2648 2654
Julia Michaels,61,66.64202042000498,267 297 619 1014 1243
