s_id,track_name,artist_name,image,embed,rec
1,7 rings,Ariana Grande,https://i.scdn.co/image/ab67616d0000b2739b41e8830f63dc7aad79ec59,QYh6mYIJG2Y, 2150 233 1576 175 2575 414 40 566 43 35
2,"break up with your girlfriend, im bored",Ariana Grande,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,LH4Y1ZUUx2g, 669 2665 307 45 331 1752 56 84 2832 1727
3,Wow.,Post Malone,https://i.scdn.co/image/ab67616d0000b27379eb2363cc79781b03d80b2e,393C3pr2ioY, 1262 24 2662 849 298 761 27 328 863 713
4,Con Calma,Daddy Yankee,https://i.scdn.co/image/ab67616d0000b273896ffcd42561c44fea2bae7b,DiItGE3eAyQ, 50 2285 1648 2288 154 476 1222 2757 251 396
5,Calma - Remix,Pedro Capó,https://i.scdn.co/image/ab67616d0000b273c736f0be0530ea1e1a7fd601,1_zgKRBrT0Y, 157 386 2378 216 1392 268 628 2436 789 2394
6,Without Me,Halsey,https://i.scdn.co/image/ab67616d0000b273c42acc1b86597285c2c79559,ZAfAud_M_mg, 546 487 2316 1551 14 666 1974 1174 513 42
7,Dancing With A Stranger (with Normani),Sam Smith,https://i.scdn.co/image/ab67616d0000b2733b52eca47232bedfbb5e9443,av5JD1dfj_c, 1237 830 64 137 99 293 171 76 1854 993
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,ApXoWvfEYVU, 1046 1474 182 3229 2529 643 1437 53 717 171
9,Sweet but Psycho,Ava Max,https://i.scdn.co/image/ab67616d0000b273c5015d2a9270865a5979f56b,WXBHCQYxwr0, 1731 842 42 550 3001 39 932 313 141 305
10,Happier,Marshmello,https://i.scdn.co/image/ab67616d0000b27304bfd5a5fd5aa6ca648f66aa,m7Bc3pLyij0, 13 124 1824 904 819 493 750 2448 529 365
11,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,https://i.scdn.co/image/ab67616d0000b273e105c410a7b390c61a58cbf8,ixkoVwKQaJg, 22 144 332 450 1025 373 370 3157 801 439
12,Secreto,Anuel Aa,https://i.scdn.co/image/ab67616d0000b273dc67d6f3cc602f02ed7fd932,gFZfwWZV074, 385 805 593 2207 1270 514 2871 571 100 365
13,MIDDLE CHILD,J. Cole,https://i.scdn.co/image/ab67616d0000b2737f37a4001ae7d8be430bd91b,WILNIXZr2oc, 1521 1883 306 777 1026 3377 1044 486 219 151
